'NazevZarizeni','Obec'
'LAB.STOM.DENT s.r.o.','Benešov'
'BeneSmile s.r.o.','Benešov'
'LENKA KRÁLOVÁ','Benešov'
'Domov seniorů Benešov, poskytovatel sociálních služeb','Benešov'
'FOKUS optik a.s.','Benešov'
'VICEBAR s.r.o.','Benešov'
'VICEBAR s.r.o.','Benešov'
'DANIELA SEDLÁKOVÁ','Benešov'
'Mgr. EVA DEJMKOVÁ','Benešov'
'Ortopedie Pituch s.r.o.','Benešov'
'Immunocare s. r. o.','Benešov'
'Domácí péče Včelka Praha s.r.o.','Benešov'
'Mgr. DOMINIKA PETREKOVÁ','Benešov'
'Jiří Pacovský','Benešov nad Ploučnicí'
'MUDr. Vendula Pilecká','Benešov nad Ploučnicí'
'Lékárna U Hedviky s.r.o.','Benešov nad Ploučnicí'
'Všeobecný lékař Jih s.r.o.','Benešov nad Černou'
'Mgr. Zuzana Polanecká','Benešov u Semil'
'Služby sociální péče TEREZA, příspěvková organizace','Benešov u Semil'
'Mgr. Kristýna Hrušková','Benátky nad Jizerou'
'Oblastní nemocnice Mladá Boleslav, a.s., nemocnice Středočeského kraje, odborné ambulance','Benátky nad Jizerou'
'Oblastní nemocnice Mladá Boleslav, a.s., nemocnice Středočeského kraje, oční ambulance','Benátky nad Jizerou'
'PharmDr. Zuzana Jelínková, Lékárna Viola','Benátky nad Jizerou'
'MUDr. MARKÉTA PEKÁRKOVÁ','Benátky nad Jizerou'
'Bc. Ivana Veškrnová, DiS.','Benátky nad Jizerou'
'MUDr. Richard Havránek, s.r.o.','Benátky nad Jizerou'
'Domov U Anežky, poskytovatel sociálních služeb','Benátky nad Jizerou'
'Domácí péče Včelka Praha s.r.o.','Benátky nad Jizerou'
'ČESKÁ OČNÍ OPTIKA HOLDING a.s.','Benátky nad Jizerou'
'MUDr. Eva Kalužíková','Benátky nad Jizerou'
'DIA IKAR s.r.o.','Benátky nad Jizerou'
'MUDr. Zlatuše Mikulášová','Bernartice'
'J a B Ko Praktik Bernartice s.r.o.','Bernartice'
'PracticMedica s.r.o.','Bernartice'
'Mayesta Beroun s.r.o.','Beroun'
'NEFRO Strnad s.r.o.','Beroun'
'Privátní psychiatrická praxe, MUDr. Michal Pořický s.r.o.','Beroun'
'PhDr. René Zahradníková s.r.o.','Beroun'
'MUDr. Martin Cajthaml','Beroun'
'MUDr. Vladimír Moucha','Beroun'
'MUDr. Jitka Valníčková','Beroun'
'MUDr. JAROSLAVA BĚLOSTÍKOVÁ s.r.o.','Beroun'
'Medicaderma s.r.o.','Beroun'
'KARDION Oravec s.r.o.','Beroun'
'MUDr. MIROSLAV BĚLOSTÍK s.r.o.','Beroun'
'DR. OPTIK s.r.o.','Beroun'
'Bc. Jana Stammers','Beroun'
'SK Labordent s.r.o.','Beroun'
'MUDr. Martin Král','Beroun'
'Gynevita s.r.o.','Beroun'
'AM Trans, s.r.o.','Beroun'
'Kompletní péče s.r.o.','Beroun'
'MUDr. Lenka Vitnerová','Beroun'
'ZP Krásný s.r.o.','Beroun'
'MUDr. Pavla Baťková','Beroun'
'Bc. Martina Bártová, DiS.','Beroun'
'Fiala Dent s.r.o.','Beroun'
'MUDr. Pavla Baťková','Beroun'
'Bc. Pavla Kellnerová','Beroun'
'SENIMED s.r.o., Lékárna Nemocnice Beroun','Beroun'
'Centrum Panská, z.s.','Beroun'
'ortorama s.r.o.','Beroun'
'ČESKÁ LÉKÁRNA HOLDING, a.s., Dr. Max Lékárna','Beroun'
'VD STOM & LAB s.r.o.','Beroun'
'Magdaléna, o.p.s.','Beroun'
'Pokojný dům u Sázavy z. s.','Beroun'
'Senioři Vestec, z.s.','Beroun'
'MUDr. Martin Dimov','Beroun'
'DENTIKO BEROUN s.r.o.','Beroun'
'AMD anestezie s.r.o.','Beroun'
'Ortodental Karel s.r.o.','Beroun'
'STOMATISSIMO s.r.o.','Beroun'
'Stomatochirurgie Beroun, s.r.o.','Beroun'
'Bc. Michaela Faltýnová, DiS.','Beroun'
'CENTRUM NA VERANDĚ BEROUN, z.ú.','Beroun'
'MUDr. Martina Tomková','Beroun'
'MUDr. Milena Brabcová','Beroun'
'Domov seniorů TGM, příspěvková organizace','Beroun'
'Mgr. VĚRA ŠVEJCAROVÁ SOBĚSLAVSKÁ','Beroun'
'Jera Berkana s.r.o.','Beroun'
'Next Image s.r.o.','Beroun'
'Bc. Kristýna Kohutová DiS.','Beroun'
'THUASNE SHOPS s.r.o.','Beroun'
'Lékař pro děti spol. s r.o.','Beroun'
'JN Optik s.r.o.','Beroun'
'Sanovia, a.s.,Lékárna','Beroun'
'Pro zdraví 21 z.ú.','Beroun'
'JESSENIA a.s., Rehabilitační  nemocnice Beroun','Beroun'
'EUC PLS s.r.o.','Beroun'
'Charita Beroun','Beroun'
'Lomikámen, z.ú.','Beroun'
'Nemocniční lékárny s.r.o., Lékárna BETA','Beroun'
'Centrum zubní prevence s.r.o.','Beroun'
'MEDICARE I. KAPLICE, s.r.o.','Besednice'
'MEDIFA Radka Válková s.r.o.','Bečov'
'Domov Na Hrádku, poskytovatel sociálních služeb','Bečváry'
'Nemocniční lékárny s.r.o., OOVL Kolínská lékárna','Bečváry'
'TeamPrevent-Santé, s.r.o.','Bitozeves'
'MDDr. Jiří Potůček','Blansko'
'MUDr. Vladimíra Veselá s.r.o.','Blansko'
'Neurofyzionet, spol. s r.o.','Blansko'
'Dentcompany s.r.o.','Blansko'
'MUDr. Šušol - urologie s.r.o.','Blansko'
'MUDr. Eva Kelnerová s.r.o.','Blansko'
'MUDr. Ivana Hodaňová','Blansko'
'DOREMA s.r.o.','Blansko'
'MUDr. Zdeněk Grünwald s.r.o.','Blansko'
'DOBIMED s.r.o.','Blansko'
'IATREIA - MD s.r.o.','Blansko'
'MUDr. Radek Trávníček s.r.o.','Blansko'
'MUDr. Věra Šmaterová s.r.o.','Blansko'
'Dent Protetik LAB s.r.o.','Blansko'
'MUDr. Milena Ošmerová MUDr. Romana Kozumplíková Imuno-alergologie s.r.o.','Blansko'
'MUDr. Monika Těšíková','Blansko'
'MUDr. Věra Jíňová, s.r.o.','Blansko'
'MUDr. Věra Jíňová, s.r.o.','Blansko'
'MUDr. Kamil Mazal','Blansko'
'MUDr. Pavel Matuška Ph.D.','Blansko'
'JH - Stoma s.r.o.','Blansko'
'DR. OPTIK Moravia s.r.o.','Blansko'
'MUDr. Michal Grünwald','Blansko'
'Bc. Andrea Mikletičová','Blansko'
'IFCOR - KLINICKÉ LABORATOŘE, s.r.o.','Blansko'
'Mgr. MARKÉTA KUNCOVÁ','Blansko'
'Bc. PETRA GÄRTNEROVÁ','Blansko'
'IFCOR-99, s.r.o.','Blansko'
'SENIOR centrum Blansko, příspěvková organizace','Blansko'
'PETRA KOCANDOVÁ','Blansko'
'MUDr. Jiří Danda, s.r.o.','Blansko'
'Lékárna Korunka s.r.o.','Blansko'
'GEMINI oční optika s.r.o.','Blansko'
'Bc. Klára Nezvalová','Blansko'
'MDDr. DAGMAR KOUDELKOVÁ','Blansko'
'ČESKÁ LÉKÁRNA HOLDING, a.s., Dr.Max LÉKÁRNA','Blansko'
'MUDr. Jana Jelínková','Blansko'
'MUDr. Marie Dohnalová','Blansko'
'Klára Sáňková DiS.','Blansko'
'Spraveno s.r.o.','Blansko'
'B.ON optik s.r.o.','Blansko'
'GESPROMED s.r.o.','Blansko'
'PharmDr. Marie Fojtíková, Maruščina Apatyka','Blatnice pod Svatým Antonínkem'
'DERMACENTRUM Schmittová s.r.o.','Blatná'
'MUDr. Zuzana Slavíková','Blatná'
'dioptra optik s.r.o.','Blatná'
'Nemocnice Strakonice, a.s., odborné ambulance','Blatná'
'Lékárna Poliklinika Blatná s.r.o., Lékárna Poliklinika','Blatná'
'MUDr. Yvona Kotroušová, s.r.o.','Blatná'
'Domov pro seniory','Blatná'
'MB Dent, s.r.o.','Blatná'
'LinMed s.r.o.','Blatná'
'MEDIPRAX Blatná s.r.o.','Blatná'
'Alena Schlehuberová - RTG pracoviště','Blatná'
'PAVLA KREJNICKÁ DiS.','Blatná'
'Bc. Markéta Koubková','Blatná'
'SANITKY.Herzig s.r.o.','Blatná'
'ORL Blatná s.r.o.','Blatná'
'MedicalHelp Česká republika s.r.o.','Blatná'
'Bc. KARIN DOUBKOVÁ','Blažovice'
'Praktik ambulance s.r.o.','Blovice'
'UZDRAVÍ s.r.o.','Blovice'
'OFTHALMOS-KENTRON s.r.o.','Blovice'
'ZabranDent s.r.o.','Blovice'
'Petr Přibáň','Blovice'
'MUDr. Blanka Eliasová','Blovice'
'Odborné zdravotnické zařízení s.r.o.','Blovice'
'MUDr. Tereza Kobrová, DiS.','Blovice'
'Praktik Blovice s.r.o.','Blovice'
'Praktický lékař Blovice, s.r.o.','Blovice'
'Domov pro seniory Vlčice, příspěvková organizace','Blovice'
'Zubní ordinace DENTILKA s.r.o.','Blovice'
'Lékárna Bludov s.r.o.','Bludov'
'Ambulance VIP s.r.o.','Blučina'
'Bc. Lenka Kostantinová','Blížejov'
'Cedymed s.r.o.','Blíževedly'
'Bc. Petra Šerháková','Blížkovice'
'Centrum pediatrie s.r.o.','Bobrová'
'MUDr. Zuzana Kozárová','Bobrová'
'Ordinace Bochov s.r.o.','Bochov'
'MDDr. David Irman','Bochov'
'Obec Bochoř','Bochoř'
'MUDr. EVA ŠEDÁ','Bohdalov'
'Praxe VPL s.r.o.','Bohdaneč'
'Česká katolická charita','Bohdašín'
'Repharm a.s., LÉKÁRNA AGEL','Bohumín'
'B. Braun Avitum s.r.o.','Bohumín'
'KIRKMED s.r.o.','Bohumín'
'Alergologie Balcárek s.r.o.','Bohumín'
'Bohumínská městská nemocnice, a.s., odborné ambulance','Bohumín'
'MUDr. PAVLÍNA FAGAN','Bohumín'
'AMBORLEX s.r.o.','Bohumín'
'SILESIA MEDICAL, s.r.o.','Bohumín'
'Mgr. YVETTA VASILIU','Bohumín'
'Nemocnice AGEL Ostrava-Vítkovice a.s., ambulance neurologie','Bohumín'
'Psychiatrie Bohumín s.r.o.','Bohumín'
'Centrum sociálních služeb Bohumín, příspěvková organizace','Bohumín'
'Domov Jistoty, příspěvková organizace','Bohumín'
'Slezská diakonie, Salome','Bohumín'
'MEDESA care s.r.o.','Bohumín'
'Mefaort s.r.o.','Bohumín'
'ORTOCENTRUM MSK s.r.o.','Bohumín'
'DIFFERENT PHARMA a.s., BENU Lékárna','Bohumín'
'Charita Bohumín','Bohumín'
'BENU Česká republika s.r.o., BENU lékárna','Bohumín'
'ČESKÁ LÉKÁRNA HOLDING, a.s., Dr. Max Lékárna','Bohumín'
'Krevní centrum s.r.o.','Bohumín'
'Nemocnice s poliklinikou Karviná-Ráj, příspěvková organizace','Bohumín'
'GODMED CZ s.r.o.','Bohumín'
'PL pro D ZZ a ambulance, s.r.o.','Bohuslavice'
'Centrum hiporehabilitace Mirákl o.p.s.','Bohuslavice'
'MUDr. Josef Soukup','Bohuslavice'
'Jarmila Ševčíková','Bohuňovice'
'KLINIKA ORPRAL s.r.o.','Bohuňovice'
'ORDINACE PEDIEN s.r.o.','Bohuňovice'
'KZ Praktic s.r.o.','Bohušovice nad Ohří'
'Sixdent s.r.o.','Bojkovice'
'FiDent s.r.o.','Bojkovice'
'MUDr. Jiří Bobčík, s.r.o.','Bojkovice'
'MUDr. Jana Filkuková','Bojkovice'
'Fyzioterapie Maja, spol. s r.o.','Bojkovice'
'GynPorCentrum s.r.o.','Bolatice'
'DaJOBoldent s.r.o.','Bolatice'
'DZS PRAJZSKÁ, s.r.o.','Bolatice'
'General practitioner s.r.o.','Bolatice'
'Klára Dominiková','Bolatice'
'MUDr. Vladimíra Donné','Boleradice'
'PEDIATRIE West, s.r.o.','Bor'
'Miloslava Turková','Bor'
'SportsMed Consultation s.r.o.','Bor'
'Zdravotnická záchranná služba Plzeňského kraje, příspěvková organizace','Bor'
'Pediatrie Bor s.r.o.','Bor'
'Filip Brückner','Bor'
'MUDr. Tomáš Mádr','Bor'
'Diecézní charita Plzeň','Bor'
'MEDICA SEVER s.r.o.','Bor'
'MUDr. Helena Štefanová','Borohrádek'
'BOROmedic s.r.o.','Borohrádek'
'Domovy na Orlici','Borohrádek'
'Dětská ordinace AgaMa, s.r.o.','Borovany'
'Alice Bízková Nehodová','Borovany'
'Rehabilitace Borovany s.r.o.','Borovany'
' s.r.o.','Borovany'
'Optika Hosnedl s.r.o.','Borovany'
'PhDr. Jana Tláskalová','Borová Lada'
'MUDr. JIŘÍ PULEC','Bory'
'NEJA Praktik s.r.o.','Boršice u Blatnice'
'Aleš Kejík','Boskovice'
'Femina.care s.r.o.','Boskovice'
'MUDr. Dagmar Vymazalová s.r.o.','Boskovice'
'Mgr. Lukáš Otava','Boskovice'
'Mazal, s.r.o.','Boskovice'
'IFCOR - AMBULANCE, s.r.o.','Boskovice'
'DOBIMED s.r.o.','Boskovice'
'MUDr. Hana Sychrová s.r.o.','Boskovice'
'GYNPART s.r.o.','Boskovice'
'MUDr.Petra Janováčová, s.r.o.','Boskovice'
'MUDr. Milena Ošmerová MUDr. Romana Kozumplíková Imuno-alergologie s.r.o.','Boskovice'
'MUDr. Roglič s.r.o.','Boskovice'
'MUDr. Konopáčová - praktické lékařství s.r.o.','Boskovice'
'MUDr. Kamil Mazal','Boskovice'
'ESPIET CLINIC s.r.o.','Boskovice'
'MUDr. Milan Janáč s.r.o.','Boskovice'
'MUDr. Pavel Menšík','Boskovice'
'Stomatologie Grénarová s.r.o.','Boskovice'
'Dental4YOU s.r.o.','Boskovice'
'Zdravotní doprava Václav Jordán s.r.o.','Boskovice'
'Nemocnice Boskovice s.r.o., Lékárna','Boskovice'
'MUDr. Dana Kejíková s.r.o.','Boskovice'
'MUDr. Nečasová Jaroslava s.r.o.','Boskovice'
'IFCOR - KLINICKÉ LABORATOŘE, s.r.o, sběrné místo','Boskovice'
'ASKABO, s.r.o.','Boskovice'
'Zdravá srdce s.r.o.','Boskovice'
'Městská správa sociálních služeb','Boskovice'
'Radiologie plus, s.r.o.','Boskovice'
'Chirurgie Boskovice s.r.o.','Boskovice'
'Irena Novotná','Boskovice'
'MORASPOL s.r.o., Lékárna','Boskovice'
'percley pro s.r.o.','Boskovice'
'Ambulance Boskovice s.r.o.','Boskovice'
'Marcela Loubalová','Boskovice'
'Alergo-imuno-MAT s.r.o.','Boskovice'
'Domov pro seniory Hortenzie','Bořanovice'
'MUDr. Jana Hlaváčová','Božejov'
'Domov Božice, příspěvková organizace','Božice'
'LP-Medical s.r.o.','Brandov'
'Ivona Peterková','Brandýs nad Labem-Stará Boleslav'
'PRAKORD s.r.o.','Brandýs nad Labem-Stará Boleslav'
'Interní ordinace s.r.o.','Brandýs nad Labem-Stará Boleslav'
'DIACENTRUM Brandýs n.L. s.r.o.','Brandýs nad Labem-Stará Boleslav'
'ANTEROLI s.r.o.','Brandýs nad Labem-Stará Boleslav'
'PROFYZ s.r.o.','Brandýs nad Labem-Stará Boleslav'
'VIDIA-DIAGNOSTIKA, spol. s r.o., odběrová místnost','Brandýs nad Labem-Stará Boleslav'
'Alergologická ambulance s.r.o.','Brandýs nad Labem-Stará Boleslav'
'TopHelp s.r.o.','Brandýs nad Labem-Stará Boleslav'
'ČESKÁ LÉKÁRNA HOLDING, a.s., Dr. Max Lékárna','Brandýs nad Labem-Stará Boleslav'
'MUDr. Pavlína Lichtenberková','Brandýs nad Labem-Stará Boleslav'
'Renturi s.r.o.','Brandýs nad Labem-Stará Boleslav'
'Renturi s.r.o.','Brandýs nad Labem-Stará Boleslav'
'Bc. Nováková Věra','Brandýs nad Labem-Stará Boleslav'
'MK medicol plus s.r.o.','Brandýs nad Labem-Stará Boleslav'
'Home PROFI Care s.r.o.','Brandýs nad Labem-Stará Boleslav'
'DIARESEARCH s.r.o.','Brandýs nad Labem-Stará Boleslav'
'OptikaMarketa s.r.o.','Brandýs nad Labem-Stará Boleslav'
'VIAM SALUTIS s.r.o.','Brandýs nad Labem-Stará Boleslav'
'Optika Jana s. r. o.','Brandýs nad Labem-Stará Boleslav'
'Vyšší Hrádek, poskytovatel sociálních služeb','Brandýs nad Labem-Stará Boleslav'
'Pilulka Lékárna a. s.','Brandýs nad Labem-Stará Boleslav'
'MUDr. ŠÁRKA SLAVÍKOVÁ','Brandýs nad Labem-Stará Boleslav'
'Zdravotnická záchranná služba Středočeského kraje, příspěvková organizace','Brandýs nad Labem-Stará Boleslav'
'ProCare Medical s.r.o.','Brandýs nad Labem-Stará Boleslav'
'Česká katolická charita','Brandýs nad Labem-Stará Boleslav'
'SANITA s.r.o.','Brandýs nad Labem-Stará Boleslav'
'MDDr. Blanka Mokošínová','Brandýs nad Labem-Stará Boleslav'
'Aproklan s.r.o.','Brandýs nad Labem-Stará Boleslav'
'Aproklan s.r.o.','Brandýs nad Labem-Stará Boleslav'
'Stomatologie Ujec s.r.o.','Brandýs nad Labem-Stará Boleslav'
'LUSH HOME CARE s.r.o.','Brandýs nad Labem-Stará Boleslav'
'ZLATICA MESJAROVÁ DiS.','Brandýs nad Labem-Stará Boleslav'
'Nemocnice AGEL Říčany a.s.','Brandýs nad Labem-Stará Boleslav'
'MUDr. Richard Havránek, s.r.o.','Brandýs nad Labem-Stará Boleslav'
'Psychiatrická nemocnice Bohnice, Centrum duševního zdraví','Brandýs nad Labem-Stará Boleslav'
'MUDr. MICHAL FIŠER','Brandýs nad Labem-Stará Boleslav'
'MUDr. GABRIELA LUXOVÁ','Brandýs nad Orlicí'
'PharmDr. Zdeňka Niedobová, Lékárna MEDINA','Brandýsek'
'LENIPELI s.r.o.','Brandýsek'
'Teta drogerie a lékárny ČR s.r.o.','Brandýsek'
'MUDr. Ivan Kratochvíl s.r.o.','Brankovice'
'MUDr. Jindřich Sklenář','Bratronice'
'MUDr. Radka Kynická','Brloh'
'INTEKA KOSOVÁ s.r.o.','Brno'
'Tomáš Chrobok','Brno'
'Mgr. Jakub Veškrna','Brno'
'Tomáš Chrobok','Brno'
'ČESKÁ LÉKÁRNA HOLDING, a.s., Dr. Max Lékárna','Brno'
'ČESKÁ LÉKÁRNA HOLDING, a.s., Dr. Max Lékárna','Brno'
'ČESKÁ LÉKÁRNA HOLDING, a.s., Dr. Max Lékárna','Brno'
'synlab czech s.r.o., odběrová místnost','Brno'
'EDI NET s.r.o. - organizační složka','Brno'
'MUDr. Šárka Stiborová','Brno'
'PharmaSalix s.r.o., Lékárna Na Cejlu','Brno'
'BENU Česká republika s.r.o., BENU lékárna','Brno'
'24-LÉKÁRNA s.r.o.','Brno'
'Dr. Švandová - klinická logopedie, s.r.o.','Brno'
'MUDr. Václav Kotačka','Brno'
'DIAMOND OPTIC, s.r.o.','Brno'
'NEUROLOGIE POPELKA s.r.o.','Brno'
'MDT-Medical Data Transfer s.r.o.','Brno'
'Mgr. Zdeňka Lauermannová s.r.o.','Brno'
'Mgr. Zdeňka Lauermannová s.r.o.','Brno'
'Mgr. Zdeňka Lauermannová s.r.o.','Brno'
'Mgr. Zdeňka Lauermannová s.r.o.','Brno'
'EYES OPTIK, s.r.o.','Brno'
'Chirurgická ambulance Viniční, s.r.o.','Brno'
'EIFFEL OPTIC, a.s.','Brno'
'PhDr. Marta Romaňáková, Ph.D.','Brno'
'IBC Cosmetic Dentistry s.r.o.','Brno'
'Smileland s.r.o.','Brno'
'IriSdent s.r.o.','Brno'
'MUDr. Kateřina Procházková s.r.o.','Brno'
'SANEMEDICA, s.r.o.','Brno'
'MUDr. Adámková Jaroslava s.r.o.','Brno'
'MUDr. Dana Holušová s.r.o.','Brno'
'MDDr. Tomáš Král','Brno'
'Psychiatrická ambulance MUDr. Olga Krátká s.r.o.','Brno'
'MUDr. Božena Kučerová, s.r.o.','Brno'
'VALORE plus,s.r.o.','Brno'
'Mgr. Martina Milčáková','Brno'
'Heřmánková lékárna s.r.o.','Brno'
'Rehabilitace VHP s.r.o.','Brno'
'MUDr. Vladimír Macháček','Brno'
'MUDr. JANKA ZAPLETALOVÁ s.r.o.','Brno'
'Stomatologie CLARIS s.r.o.','Brno'
'MUDr. Kristina Lambieová, s.r.o.','Brno'
'Sdružené ordinace Slatina s.r.o.','Brno'
'Lident Stomacare s.r.o.','Brno'
'MUDr. Mecová - neurologie s.r.o.','Brno'
'MUDr. Jaroslav Matějík s.r.o.','Brno'
'Stomatologie Mendlovo nám. s.r.o.','Brno'
'Oční centrum CESTA s.r.o.','Brno'
'STUDIO ELITE SMILE s.r.o.','Brno'
'Stomatologie Tejkal s.r.o.','Brno'
'Pilulka Lékárny a.s.','Brno'
'Perfect Clinic s.r.o.','Brno'
'Procházka ortopedií s.r.o.','Brno'
'Lunettes Optika s.r.o.','Brno'
'Arthro Biotherapy s.r.o.','Brno'
'MUDr. Jan Vanáč','Brno'
'MUDr. Aleš Chaloupka','Brno'
'HAMEDICAL s.r.o.','Brno'
'Derma Medical Clinic s.r.o.','Brno'
'Gynekologie Brno s.r.o.','Brno'
'DIAVITA s.r.o.','Brno'
'MUDr. Vladimír Ludka','Brno'
'Společnost Podané ruce, o.p.s., Terapeutické centrum na Bratislavské','Brno'
'MUDr. Šárka Stiborová','Brno'
'MUDr. Šárka Stiborová','Brno'
'MUDr. Tomáš Kubek Ph.D.','Brno'
'Lucie Nováková DiS.','Brno'
'MUDr. Kamila Pohanková','Brno'
'MUDr. Jitka Vokurková, Ph.D.','Brno'
'DAP Brno, spol. s r.o.','Brno'
'prof. MUDr. Miroslav Penka, CSc.','Brno'
'MUDr. Lia Vašíčková','Brno'
'MUDr. Miroslav Novák','Brno'
'Oblastní spolek Českého červeného kříže Brno-město','Brno'
'Kardio Brychta s.r.o.','Brno'
'HABALE s.r.o.','Brno'
'DENTEA, s.r.o.','Brno'
'MeDiLa spol. s r.o., odběrová místnost','Brno'
'ČESKÁ LÉKÁRNA HOLDING, a.s., Dr. Max Lékárna','Brno'
'DERMI, s.r.o. Lékárna na Vltavské','Brno'
'Ordinace VPL Pekařská s.r.o.','Brno'
'Vladimír Ryc','Brno'
'MUDr. Roman Malý','Brno'
'MUDr. Roman Malý','Brno'
'Helena Kalousková','Brno'
'HCI HOTEL CLUB INVESTMENTS, spol. s r.o.','Brno'
'MUDr. Petr Fráňa','Brno'
'EuroPainClinics Brno a.s.','Brno'
'MUDr. Jan Kopeček','Brno'
'MUDr. VĚRA ZELENÁ s.r.o.','Brno'
'Remedis, s.r.o.','Brno'
'Osteocentrum Brno, s.r.o.','Brno'
'AVE SURGEON s.r.o.','Brno'
'MUDr. Roman Stehlík, s.r.o.','Brno'
'SMILE FACTORY s.r.o.','Brno'
'Eva Mudrychová','Brno'
'AngiologieBrno-Šárník spol. s r.o.','Brno'
'BaraDental s.r.o.','Brno'
'Oralcare s.r.o.','Brno'
'DentaLibor s.r.o.','Brno'
'Moje ORL s.r.o.','Brno'
'Endokrinologie Munteanu s.r.o.','Brno'
'MUDr. Kristina Borkovcová s.r.o.','Brno'
'MUDr. Michaela Blahová, revmatologická ambulance s.r.o.','Brno'
'SPOMED, s.r.o.','Brno'
'MUDr. Pavla Dorúšková s.r.o.','Brno'
'MDDr. Tomáš Slavíček','Brno'
'MUDr. Radmila Gálová s.r.o.','Brno'
'inPHARM CLINIC s.r.o.','Brno'
'Gynekologie MEDA s.r.o.','Brno'
'Sdružené ordinace s.r.o.','Brno'
'Stomatologické centrum Verodent s.r.o.','Brno'
'Chirurgie Javor Brno s.r.o.','Brno'
'MUDr. Pavel Ovísek s.r.o.','Brno'
'Mgr. Bára Horáčková','Brno'
'MUDr. Hana Kellnerová','Brno'
'OFTA ambulance s.r.o.','Brno'
'Arte Clinic s.r.o.','Brno'
