"NazevZarizeni","Obec"
"Nemocnice Rudolfa a Stefanie Benešov, a.s., nemocnice Středočeského kraje","Benešov"
"MUDr. Marie Kolářová","Benešov"
"Lékořice a.s., Lékárna NOVEA","Benešov"
"Lékořice a.s., Lékárna NOVEA","Benešov"
"MUDr. Irena Krčmová","Benešov"
"Fresenius Medical Care - DS, s.r.o.","Benešov"
"ALMA Benešov, s.r.o., Výdejna zdravotnických prostředků","Benešov"
"ALIMED s.r.o.","Benešov"
"Falck Emergency a.s.","Benešov"
"MUDr. Pavel Dvořák s.r.o.","Benešov"
"Rehaspol s.r.o.","Benešov"
"M.H.M.Consulting s.r.o.","Benešov"
"Chirurgická ambulance s.r.o.","Benešov"
"Plicní a interna s.r.o.","Benešov"
"CLINTERAP s.r.o.","Benešov"
"AKA, s.r.o.","Benešov"
"Specializované ambulance s.r.o.","Benešov"
"Charita Vlašim","Benešov"
"MUDr.Lada Zahálková","Benešov"
"Lékárna ALMA s.r.o.","Benešov"
"MUDr. Kateřina Hynová","Benešov"
"MUDr. Libor Švec","Benešov"
"MUDr. Josef Posejpal","Benešov"
"Zdravotnická záchranná služba Středočeského kraje, příspěvková organizace","Benešov"
"INNERA, s.r.o.","Benešov"
"NAVIMED s.r.o.","Benešov"
"MUDr. Olga Kasková","Benešov"
"E - med s.r.o.","Benešov"
"MUDr. Alena Mottlová","Benešov"
"OČNÍ OPTIKA BENEŠOV s.r.o.","Benešov"
"MediConsult s.r.o.","Benešov"
"Kačengovi ordinace s.r.o.","Benešov"
"EM - dent s.r.o.","Benešov"
"Zdravotní ústav Ústí nad Labem - pracoviště Benešov","Benešov"
"MUDr. Petra Dušková s.r.o.","Benešov"
"StomatologieBene s.r.o.","Benešov"
"Senza Dent Benešov s.r.o.","Benešov"
"NEUROVANK s.r.o.","Benešov"
"Endokrinologie s.r.o.","Benešov"
"MUDr. Ondřej Hirsch s.r.o.","Benešov"
"LEBO, s.r.o., OOVL - L LEBO ARKLEB","Benešov"
"RUAH o.p.s.","Benešov"
"Mgr. Vladimír Doné, domácí zdravotní péče","Benešov"
"ČESKÁ LÉKÁRNA HOLDING, a.s., Dr. Max Lékárna","Benešov"
"AFIMED s.r.o.","Benešov"
"Vaše Ambulance s.r.o.","Benešov"
"SMK onkologie, interna, léčba,věda a výzkum s.r.o.","Benešov"
"MUDr. Simona Skoumalová","Benešov"
"MUDr. Lukáš Drobný","Benešov"
"MDDr. Adam Řeháček","Benešov"
"DERMACARE KRČSKÁ s.r.o.","Benešov"
"Jana Petrášková, DiS.","Benešov"
"MUDr. Michal Albert s.r.o.","Benešov"
"Topdent s.r.o.","Benešov"
"Interna Benešov s.r.o.","Benešov"
"MUDr. HELENA HRMOVÁ DIABETOLOGIE / INTERNA s.r.o.","Benešov"
"SpineCord BN s.r.o.","Benešov"
"ProMedicus Home Care Services s.r.o.","Benešov"
"MEDICON Services s.r.o.","Benešov"
"Mgr. Jiří Fiala","Benešov"
"MUDr. Vlastimil Žilka s.r.o.","Benešov"
"MUDr. Pavel Dvořák s.r.o.","Benešov"
"Dent & Life Zubní laboratoř s.r.o.","Benešov"
"DENTAL JANA s.r.o.","Benešov"
"Medclin, s.r.o.","Benešov"
"Nemocnice Rudolfa a Stefanie Benešov, a.s., nemocnice Středočeského kraje, odběrová místnost","Benešov"
"MDDr. MICHAL NÁPRAVNÍK","Benešov"
"LICHEMA s.r.o.","Benešov"
"Uzdravení s. r. o.","Benešov"
"ČESKÁ LÉKÁRNA HOLDING, a.s., Dr. Max Lékárna","Benešov"
"LAB.STOM.DENT s.r.o.","Benešov"
"BeneSmile s.r.o.","Benešov"
"LENKA KRÁLOVÁ","Benešov"
"Domov seniorů Benešov, poskytovatel sociálních služeb","Benešov"
"FOKUS optik a.s.","Benešov"
"VICEBAR s.r.o.","Benešov"
"VICEBAR s.r.o.","Benešov"
"DANIELA SEDLÁKOVÁ","Benešov"
"Mgr. EVA DEJMKOVÁ","Benešov"
"Immunocare s. r. o.","Benešov"
"Ortopedie Pituch s.r.o.","Benešov"
"Domácí péče Včelka Praha s.r.o.","Benešov"
"Mgr. DOMINIKA PETREKOVÁ","Benešov"
"MUDr. Štěpán Hós","Benešov nad Ploučnicí"
"MUDr. Petra Kmínková","Benešov nad Ploučnicí"
"Pavel Vácha s.r.o.","Benešov nad Ploučnicí"
"Poliklinika u sv. Vojtěcha s. r. o.","Benešov nad Ploučnicí"
"Jiří Pacovský","Benešov nad Ploučnicí"
"MUDr. Vendula Pilecká","Benešov nad Ploučnicí"
"Lékárna U Hedviky s.r.o.","Benešov nad Ploučnicí"
"MUDr. Marie Mikešová - praktický lékař pro děti a dorost","Benešov nad Černou"
"Logopedická ambulance s.r.o.","Benešov nad Černou"
"Všeobecný lékař Jih s.r.o.","Benešov nad Černou"
"Mgr. Zuzana Polanecká","Benešov u Semil"
"Služby sociální péče TEREZA, příspěvková organizace","Benešov u Semil"
"MUDr. Jaroslav Viták","Benátky nad Jizerou"
"MUDr. Dobroslav Koutník","Benátky nad Jizerou"
"MUDr. Lucie Závorová","Benátky nad Jizerou"
"MUDr. Zdenka Lojdová - lékařka","Benátky nad Jizerou"
"MUDr. Hana Volfová","Benátky nad Jizerou"
"MUDr. Hana Volfová","Benátky nad Jizerou"
"MUDr. Igor Karen","Benátky nad Jizerou"
"PharmDr. Zuzana Jelínková, Lékárna Na náměstí","Benátky nad Jizerou"
"Městské centrum komplexní péče Benátky nad Jizerou, příspěvková organizace","Benátky nad Jizerou"
"MUDr.Lenka Draková s.r.o.","Benátky nad Jizerou"
"ProCare Medical s.r.o.","Benátky nad Jizerou"
"Petra Cihlářová, DiS.","Benátky nad Jizerou"
"Benátecká fyzioterapie s.r.o.","Benátky nad Jizerou"
"Bendent, s.r.o.","Benátky nad Jizerou"
"Medical Care,  s.r.o.","Benátky nad Jizerou"
"MUDr. Igor Karen, s.r.o.","Benátky nad Jizerou"
"MUDr. Igor Karen, s.r.o.","Benátky nad Jizerou"
"MUDr. Zdeňka Cerhová s. r. o.","Benátky nad Jizerou"
"Pediatrická ambulance Na zámku s.r.o.","Benátky nad Jizerou"
"Poluha s.r.o., Lékárna Mandragora","Benátky nad Jizerou"
"REHABE s.r.o.","Benátky nad Jizerou"
"MUDr. Michaela Kmentová","Benátky nad Jizerou"
"MUDr. Michaela Kmentová","Benátky nad Jizerou"
"Mgr. Kristýna Hrušková","Benátky nad Jizerou"
"Oblastní nemocnice Mladá Boleslav, a.s., nemocnice Středočeského kraje, odborné ambulance","Benátky nad Jizerou"
"Oblastní nemocnice Mladá Boleslav, a.s., nemocnice Středočeského kraje, oční ambulance","Benátky nad Jizerou"
"PharmDr. Zuzana Jelínková, Lékárna Viola","Benátky nad Jizerou"
"MUDr. MARKÉTA PEKÁRKOVÁ","Benátky nad Jizerou"
"Bc. Ivana Veškrnová, DiS.","Benátky nad Jizerou"
"MUDr. Richard Havránek, s.r.o.","Benátky nad Jizerou"
"Domov U Anežky, poskytovatel sociálních služeb","Benátky nad Jizerou"
"Domácí péče Včelka Praha s.r.o.","Benátky nad Jizerou"
"ČESKÁ OČNÍ OPTIKA HOLDING a.s.","Benátky nad Jizerou"
"MUDr. Eva Kalužíková","Benátky nad Jizerou"
"DIA IKAR s.r.o.","Benátky nad Jizerou"
"MUDr. Jan Musil","Bernartice"
"PharmDr. Ivan Sýkora, Lékárna U Sv.Martina","Bernartice"
"MUDr. Dagmar Paverová","Bernartice"
"MUDr. Zlatuše Mikulášová","Bernartice"
"J a B Ko Praktik Bernartice s.r.o.","Bernartice"
"PracticMedica s.r.o.","Bernartice"
"MUDr. Jana Besserová","Beroun"
"Blanka Kroupová, stomatologická laboratoř","Beroun"
"MUDr. Vladimír Fuchs","Beroun"
"Miluše Spilková, stomatologická laboratoř","Beroun"
"MUDr. Antonín Spal","Beroun"
"MUDr. Anna Kovaříková","Beroun"
"Jana Kuralová, stomatologická laboratoř","Beroun"
"Medicentrum Beroun spol. s r.o.","Beroun"
"MUDr. Sylvie Dolejší","Beroun"
"MUDr. Miroslava Aszalayová","Beroun"
"MUDr. Lenka Jelínková, pediatrie a dětská nefrologie","Beroun"
"MUDr. Michaela Krechlerová, otorinolaryngologie","Beroun"
"Medicentrum Beroun,spol. s r.o.","Beroun"
"MUDr. Vít Dvořák","Beroun"
"BENU Česká republika s.r.o., BENU lékárna","Beroun"
"Petra Petráková, sam. stomatol. laboratoř","Beroun"
"RADIODIAGNOSTIKA, s.r.o.","Beroun"
"Stanislava Pokorná, stomatologická laboratoř","Beroun"
"Radka Topinková, stomatologická laboratoř","Beroun"
"MUDr.Mojmír Dolejší, gastroenterologie","Beroun"
"Markéta Ištoková Pertlová, stomatologická laboratoř","Beroun"
"MUDr. Dušan Navrátil","Beroun"
"MUDr. Jiří Jelínek","Beroun"
"MUDr. Dagmar Pěničková","Beroun"
"Mgr. Ludmila Vlčková, samostatné zařízení logopeda","Beroun"
"Dagmar Hamouzová, stomatologická laboratoř","Beroun"
"MUDr. Ivana Jirásková","Beroun"
"MUDr. Klára Šillerová","Beroun"
"CLINTERAP s.r.o.","Beroun"
"MUDr. Ivan Popílka","Beroun"
"Domácí zdravotní péče, s. r. o.","Beroun"
"Dialýza a.s.","Beroun"
"OPTIKA LOOK s.r.o.","Beroun"
"MUDr. Blanka Žáčková","Beroun"
"Zdravotnická záchranná služba Středočeského kraje, příspěvková organizace","Beroun"
"MUDr. Irena Kozlerová","Beroun"
"Kardio Beroun s.r.o.","Beroun"
"Ušní, nosní, krční ambulance Kastner, s.r.o.","Beroun"
"MUDr. Monika Jahnlová, s.r.o.","Beroun"
"Ordinace pro nemoci dýchacího ústrojí s.r.o.","Beroun"
"Nemocniční lékárny s.r.o.,  Lékárna Beroun v Lékařském Domě","Beroun"
"MUDr. Petra Davidová","Beroun"
"HUMILITAS s.r.o.","Beroun"
"Fonimed s.r.o.","Beroun"
"MUDr. Lucie Hamplová","Beroun"
"Miroslava Ečerová, Oční optika","Beroun"
"MUDr. Vladimíra Veselá","Beroun"
"MUDr. Ján Kalanin","Beroun"
"GYNEKOLOGIE Burešová s.r.o.","Beroun"
"GYNEKOLOGIE Burešová s.r.o.","Beroun"
"Iuliia Asina","Beroun"
"Miroslava Šlejmarová","Beroun"
"UROLOGIE MUDr. Libor Šafařík s.r.o.","Beroun"
"Gynekologie Beroun s.r.o.","Beroun"
"Dr. Šedivá s.r.o.","Beroun"
"ZP Krásný s.r.o.","Beroun"
"MUDr. Tomáš Viták","Beroun"
"Praktický lékař Beroun s.r.o.","Beroun"
"UROGAL Centrum s.r.o.","Beroun"
"Všeobecné lékařství s.r.o.","Beroun"
"GYNERA s.r.o.","Beroun"
"MUDr. Petr Nekvinda","Beroun"
"Markéta Koubíková","Beroun"
"ČESKÁ LÉKÁRNA HOLDING, a.s., Dr. Max Lékárna","Beroun"
"ALGEZ, s.r.o.","Beroun"
"Oční centrum Beroun s.r.o.","Beroun"
"Mediba s.r.o.","Beroun"
"MUDr. Dmitry Zaytsev","Beroun"
"MDDr. Jitka Šedivá","Beroun"
"Bc. Vladimíra Toplaková","Beroun"
"Kateřina Meeganová, DiS., porodní asistentka","Beroun"
"LÉKÁRNA NA NÁMĚSTÍ BEROUN s.r.o.","Beroun"
"MUDr. Tereza Hamouzová","Beroun"
"MDDr. Iva Šlesingerová","Beroun"
"My Best Care s.r.o.","Beroun"
"Monika Knoblochová","Beroun"
"NEFRO Strnad s.r.o.","Beroun"
"Mayesta Beroun s.r.o.","Beroun"
"Privátní psychiatrická praxe, MUDr. Michal Pořický s.r.o.","Beroun"
"PhDr. René Zahradníková s.r.o.","Beroun"
"MUDr. Vladimír Moucha","Beroun"
"MUDr. Martin Cajthaml","Beroun"
"MUDr. Jitka Valníčková","Beroun"
"Medicaderma s.r.o.","Beroun"
"MUDr. JAROSLAVA BĚLOSTÍKOVÁ s.r.o.","Beroun"
"KARDION Oravec s.r.o.","Beroun"
"MUDr. MIROSLAV BĚLOSTÍK s.r.o.","Beroun"
"DR. OPTIK s.r.o.","Beroun"
"Bc. Jana Stammers","Beroun"
"SK Labordent s.r.o.","Beroun"
"MUDr. Martin Král","Beroun"
"Gynevita s.r.o.","Beroun"
"Kompletní péče s.r.o.","Beroun"
"MUDr. Lenka Vitnerová","Beroun"
"AM Trans, s.r.o.","Beroun"
"ZP Krásný s.r.o.","Beroun"
"MUDr. Pavla Baťková","Beroun"
"Bc. Martina Bártová, DiS.","Beroun"
"Fiala Dent s.r.o.","Beroun"
"MUDr. Pavla Baťková","Beroun"
"Bc. Pavla Kellnerová","Beroun"
"SENIMED s.r.o., Lékárna Nemocnice Beroun","Beroun"
"Centrum Panská, z.s.","Beroun"
"ortorama s.r.o.","Beroun"
"ČESKÁ LÉKÁRNA HOLDING, a.s., Dr. Max Lékárna","Beroun"
"VD STOM & LAB s.r.o.","Beroun"
"Magdaléna, o.p.s.","Beroun"
"Pokojný dům u Sázavy z. s.","Beroun"
"Senioři Vestec, z.s.","Beroun"
"MUDr. Martin Dimov","Beroun"
"DENTIKO BEROUN s.r.o.","Beroun"
"AMD anestezie s.r.o.","Beroun"
"STOMATISSIMO s.r.o.","Beroun"
"Ortodental Karel s.r.o.","Beroun"
"Stomatochirurgie Beroun, s.r.o.","Beroun"
"Bc. Michaela Faltýnová, DiS.","Beroun"
"CENTRUM NA VERANDĚ BEROUN, z.ú.","Beroun"
"MUDr. Milena Brabcová","Beroun"
"MUDr. Martina Tomková","Beroun"
"Domov seniorů TGM, příspěvková organizace","Beroun"
"Mgr. VĚRA ŠVEJCAROVÁ SOBĚSLAVSKÁ","Beroun"
"Jera Berkana s.r.o.","Beroun"
"Next Image s.r.o.","Beroun"
"Bc. Kristýna Kohutová DiS.","Beroun"
"THUASNE SHOPS s.r.o.","Beroun"
"Lékař pro děti spol. s r.o.","Beroun"
"JN Optik s.r.o.","Beroun"
"Sanovia, a.s.,Lékárna","Beroun"
"Pro zdraví 21 z.ú.","Beroun"
"JESSENIA a.s., Rehabilitační  nemocnice Beroun","Beroun"
"EUC PLS s.r.o.","Beroun"
"Charita Beroun","Beroun"
"Lomikámen, z.ú.","Beroun"
"Nemocniční lékárny s.r.o., Lékárna BETA","Beroun"
"Centrum zubní prevence s.r.o.","Beroun"
"Eliška Fialová - ošetřovatelská péče","Besednice"
"MEDICARE I. KAPLICE, s.r.o.","Besednice"
"PharmDr. Petr Dejmek, lékárna U zlaté koruny","Bezdružice"
"MUDr. František Černý","Bezdružice"
"MUDr. Eva Kapicová, ordinace PL pro děti a dorost","Bezdružice"
"MUDr. Tomáš Böhm","Bezdružice"
"MUDr. Langerová - lékařka","Bezno"
"MUDr. Andrea Hyblerová","Bezno"
"Ordinace Toužim s.r.o.","Bezvěrov"
"MUDr. David Macků","Bečov"
"MUDr. Božena Soukupová","Bečov"
"510 Milá Gyn Bečov s.r.o.","Bečov"
"MEDIFA Radka Válková s.r.o.","Bečov"
"MUDr. Jan Malimánek","Bečov nad Teplou"
"Praktický lékař pro děti a dorost MUDr. Karel Severa","Bečváry"
"MUDr. Michal Klečka","Bečváry"
"MUDr. Věra Beranová","Bečváry"
"Domov Na Hrádku, poskytovatel sociálních služeb","Bečváry"
"Nemocniční lékárny s.r.o., OOVL Kolínská lékárna","Bečváry"
"TeamPrevent-Santé, s.r.o.","Bitozeves"
"Oblastní spolek Českého červeného kříže Blansko","Blansko"
"Nemocnice Blansko","Blansko"
"Sinaj, s.r.o., Lékárna Na Poště","Blansko"
"MUDr. Josef Trávníček","Blansko"
"MUDr. Marie Klapušová","Blansko"
"MUDr. Helena Kotlánová","Blansko"
"MUDr. Bohdana Ševčíková","Blansko"
"MUDr. Iva Mikulková","Blansko"
"MUDr. Eva Hlaváčová","Blansko"
"MUDr. Milan Trávníček","Blansko"
"MUDr. Marie Pokorná","Blansko"
"RNDr. František Flek","Blansko"
"MUDr. Zdeněk Jakubec","Blansko"
"MUDr. Eva Kalová","Blansko"
"Adriena Hradilová","Blansko"
"MUDr. Dana Vyskočilová","Blansko"
"Mgr. Jaroslava Bártová","Blansko"
"Diecézní Charita Brno, Oblastní charita Blansko","Blansko"
"Soukromá klinika LOGO s.r.o.","Blansko"
"Zdravotnická záchranná služba Jihomoravského kraje, příspěvková organizace","Blansko"
"MUDr. Lucie Nečasová","Blansko"
"Duo Pharm, s.r.o., Lékárna SVITAVA","Blansko"
"Kateřina Andrlová","Blansko"
"Emedito s.r.o., Lékárna Pod nemocnicí","Blansko"
"NCA - KEPHAS, s.r.o.","Blansko"
"MUDr. Lubomír Kosek","Blansko"
"MUDr. Petra Havlová","Blansko"
"MUDr. Ilona HEGEROVÁ s.r.o.","Blansko"
"eTerra s.r.o.","Blansko"
"Ortopedie a fyzioterapie, s.r.o.","Blansko"
"MUDr. Ivana Rejdová","Blansko"
"FISMEDICA s.r.o.","Blansko"
"Miloslav Otava","Blansko"
"Mgr. Susan Hamadehová","Blansko"
"Gynekologie Monomed s.r.o.","Blansko"
"MUDr. Ivana Hodaňová","Blansko"
"BROGYN s.r.o.","Blansko"
"DERMA PDH s.r.o.","Blansko"
"NEO Ambulance s.r.o.","Blansko"
"MUDr. Petra Vodáková","Blansko"
"SANITKA.ORG s.r.o.","Blansko"
"ATMA Dent s.r.o.","Blansko"
"ATMA Dent s.r.o.","Blansko"
"ČESKÁ LÉKÁRNA HOLDING, a.s., Dr. Max Lékárna","Blansko"
"GYNNATAL JH s.r.o.","Blansko"
"GEAVIL s.r.o.","Blansko"
"ORTODONCIE Pokorní s.r.o.","Blansko"
"Karint-BK s.r.o.","Blansko"
"STOMATOLOG Blansko s.r.o.","Blansko"
"Dentální péče MUDr. Ševčíková s.r.o.","Blansko"
"NeuroEpiProfi s.r.o.","Blansko"
"Fordent s.r.o.","Blansko"
"Zubní péče Blansko s.r.o.","Blansko"
"UROMAK s.r.o.","Blansko"
"MUDr. Jana Novosadová, s.r.o.","Blansko"
"HELIOS DENT s.r.o.,","Blansko"
"Zubní ordinace MUDr. Jarmila Kupková s.r.o.","Blansko"
"Praktický lékař Blansko s.r.o.","Blansko"
"MDDr. Jiří Potůček","Blansko"
"MUDr. Vladimíra Veselá s.r.o.","Blansko"
"Dentcompany s.r.o.","Blansko"
"Neurofyzionet, spol. s r.o.","Blansko"
"MUDr. Šušol - urologie s.r.o.","Blansko"
"MUDr. Eva Kelnerová s.r.o.","Blansko"
"MUDr. Ivana Hodaňová","Blansko"
"DOREMA s.r.o.","Blansko"
"MUDr. Zdeněk Grünwald s.r.o.","Blansko"
"DOBIMED s.r.o.","Blansko"
"IATREIA - MD s.r.o.","Blansko"
"MUDr. Radek Trávníček s.r.o.","Blansko"
"MUDr. Věra Šmaterová s.r.o.","Blansko"
"Dent Protetik LAB s.r.o.","Blansko"
"MUDr. Milena Ošmerová MUDr. Romana Kozumplíková Imuno-alergologie s.r.o.","Blansko"
"MUDr. Věra Jíňová, s.r.o.","Blansko"
